id,department_id,year_level,semester,course_code,course_title,lecture_hours,lab_hours,credits,plan_option
444,46,Graduate,N/A,AECM Elective,XXX 5XX/6XX,0,0,0,0
445,16,Graduate,N/A,EE xxx,Courses in the Area of Specialization,0,0,0,0
446,16,Graduate,N/A,EE xxx,Course in the Major Area,0,0,0,0
447,16,Graduate,N/A,EE 699,Seminar,0,0,0,0
448,16,Graduate,N/A,EE 711,PhD. Pre-Dissertation,0,0,0,0
449,16,Graduate,N/A,EE 712,PhD. Dissertation,0,0,0,0
450,16,Graduate,N/A,XX xxx,Non-EE Technical Elective,0,0,0,0
451,16,Graduate,N/A,XX xxx,Free Elective,0,0,0,0
452,16,Graduate,N/A,XX xxx,Non-EE Technical Elective,0,0,0,0
453,16,Graduate,N/A,Course in the Major area,EE xxx,0,0,0,0
454,16,Graduate,N/A,Course in the Major area,EE xxx,0,0,0,0
455,16,Graduate,N/A,Course in the Minor area,EE xxx,0,0,0,0
456,16,Graduate,N/A,Course in the Major area,EE xxx,0,0,0,0
457,16,Graduate,N/A,Course in the Minor Area,EE xxx,0,0,0,0
458,16,Graduate,N/A,Non-EE Technical Elective,XX xxx,0,0,0,0
459,16,Graduate,N/A,Non-EE Technical Elective,XX xxx,0,0,0,0
460,16,Graduate,N/A,Free Technical Elective,XX xxx,0,0,0,0
461,16,Graduate,N/A,Free Elective,XX xxx,0,0,0,0
462,16,Graduate,N/A,Seminar,EE 699,0,0,0,0
463,16,Graduate,N/A,PhD. Pre-Dissertation,EE 711,0,0,0,0
464,16,Graduate,N/A,Free Technical Elective,XX xxx,0,0,0,0
465,16,Graduate,N/A,PhD. Dissertation,EE 712,0,0,0,0
466,16,Graduate,N/A,PhD. Dissertation,EE 712,0,0,0,0
467,16,Graduate,N/A,Course in the Major area,EE xxx,0,0,0,0
468,16,Graduate,N/A,Course in the Major area,EE xxx,0,0,0,0
469,16,Graduate,N/A,Course in the Minor area,EE xxx,0,0,0,0
470,16,Graduate,N/A,Course in the Major area,EE xxx,0,0,0,0
471,16,Graduate,N/A,Course in the Minor Area,EE xxx,0,0,0,0
472,16,Graduate,N/A,Non-EE Technical Elective,XX xxx,0,0,0,0
473,16,Graduate,N/A,Non-EE Technical Elective,XX xxx,0,0,0,0
474,16,Graduate,N/A,Free Technical Elective,XX xxx,0,0,0,0
475,16,Graduate,N/A,Free Elective,XX xxx,0,0,0,0
476,16,Graduate,N/A,Seminar,EE 699,0,0,0,0
477,16,Graduate,N/A,PhD. Pre-Dissertation,EE 711,0,0,0,0
478,16,Graduate,N/A,Free Technical Elective,XX xxx,0,0,0,0
479,16,Graduate,N/A,PhD. Dissertation,EE 712,0,0,0,0
